"A.T. Still University of Health Sciences","https://www.facebook.com/atstilluniversity","http://twitter.com/ATSU_news","https://www.youtube.com/user/atstilluniversity","http://www.linkedin.com/company/a.t.-still-university","http%3A%2F%2Fwww.atsu.edu%2Fcontact%2Fatsu-social-feed",""
"Abilene Christian University","http://www.facebook.com/abilenechristian","http://www.twitter.com/acuedu","http://www.youtube.com/acu","http://www.linkedin.com/groups?viewMembers=&gid=1910637&sik=1281686963691","http%3A%2F%2Fnews.google.com%2Fnews%3Fum%3D1%26ned%3Dus%26hl%3Den%26q%3D%2BAbilene%2BChristian%2BUniversity%26output%3Drss",""
"Abraham Baldwin Agricultural College","https://www.facebook.com/1908ABAC","https://twitter.com/ABAC_College","http://www.youtube.com/user/TheABACStallion","https://www.linkedin.com/edu/school?id=32433","http%3A%2F%2Fnews.google.com%2Fnews%3Fum%3D1%26ned%3Dus%26hl%3Den%26q%3D%2BAbraham%2BBaldwin%2BAgricultural%2BCollege%26output%3Drss",""
"Adelphi University","http://www.facebook.com/AdelphiU","http://twitter.com/AdelphiU","http://www.youtube.com/AdelphiUniv","https://www.linkedin.com/edu/adelphi-university-18909","http%3A%2F%2Fnews.google.com%2Fnews%3Fum%3D1%26ned%3Dus%26hl%3Den%26q%3D%2BAdelphi%2BUniversity%26output%3Drss",""
"Adrian College","https://www.facebook.com/adriancollegebulldogs","http://www.twitter.com/adriancollege/","http://www.youtube.com/user/TheACBulldogs/","http://www.linkedin.com/in/adriancollege","http%3A%2F%2Fnews.google.com%2Fnews%3Fum%3D1%26ned%3Dus%26hl%3Den%26q%3D%2BAdrian%2BCollege%26output%3Drss",""
"Adrian ISD #511","","","","","http%3A%2F%2Fnews.google.com%2Fnews%3Fum%3D1%26ned%3Dus%26hl%3Den%26q%3D%2BAdrian%2BISD%2B%23511%26output%3Drss",""
"Agnes Scott College","https://www.facebook.com/agnesscottcollege","https://twitter.com/agnesscott","http://www.youtube.com/agnesscottcollege","https://www.linkedin.com/company/agnes-scott-college","http%3A%2F%2Fnews.google.com%2Fnews%3Fum%3D1%26ned%3Dus%26hl%3Den%26q%3D%2BAgnes%2BScott%2BCollege%26output%3Drss",""
"Agua Fria Union High School District #216","http://www.facebook.com/AFUHSD","http://twitter.com/AFUHSD216","","","http%3A%2F%2Fnews.google.com%2Fnews%3Fum%3D1%26ned%3Dus%26hl%3Den%26q%3D%2BAgua%2BFria%2BUnion%2BHigh%2BSchool%2BDistrict%2B%23216%26output%3Drss",""
"Aiken County School District","https://www.facebook.com/pages/Aiken-County-Public-School-District/185555488143449","https://twitter.com/ACPSDistrict","","https://www.linkedin.com/company/aiken-county-public-school-district","http%3A%2F%2Facps.schoolfusion.us%2Fmodules%2Ftt%2FrssHome.phtml%3Fsessionid%3D8e6f67873a89a3546c5aa2c92782312c",""
"Aims Community College","http://www.facebook.com/aimsfan/","http://www.twitter.com/aimscc/","http://www.youtube.com/user/AimsCeeCee/","https://www.linkedin.com/company/aims-community-college","http%3A%2F%2Fnews.google.com%2Fnews%3Fum%3D1%26ned%3Dus%26hl%3Den%26q%3D%2BAims%2BCommunity%2BCollege%26output%3Drss",""
"Alabama State University","http://www.facebook.com/pages/Alabama-State/149537805116515?sk=wall","https://twitter.com/ASUHornetNation","http://www.youtube.com/ASUHornetNation","https://www.linkedin.com/edu/school?id=17720","http%3A%2F%2Fwww.alasu.edu%2Fnews%2Frss-news%2Findex.aspx",""
"Albany State University","https://www.facebook.com/AlbanyStateUniversity","https://twitter.com/AlbanyStateUniv","http://www.youtube.com/channel/UCqpaH0hGmQjtw1CCg02VoPg/","https://www.linkedin.com/edu/school?id=19026","http%3A%2F%2Fnews.google.com%2Fnews%3Fum%3D1%26ned%3Dus%26hl%3Den%26q%3D%2BAlbany%2BState%2BUniversity%26output%3Drss",""
"Albion College","http://www.facebook.com/albioncollege","https://twitter.com/albioncollege","http://www.youtube.com/user/AlbionCollege","https://www.linkedin.com/edu/albion-college-20025","http%3A%2F%2Fnews.google.com%2Fnews%3Fum%3D1%26ned%3Dus%26hl%3Den%26q%3D%2BAlbion%2BCollege%26output%3Drss",""
"Albuquerque Academy","https://www.facebook.com/albuquerqueacademy","https://twitter.com/AlbAcademy","https://www.youtube.com/user/AlbAcademyVideo","https://www.linkedin.com/company/albuquerque-academy","http%3A%2F%2Fnews.google.com%2Fnews%3Fum%3D1%26ned%3Dus%26hl%3Den%26q%3D%2BAlbuquerque%2BAcademy%26output%3Drss",""
